symbol_id,type,parent_symbol_ids
513,MARKET,{}
492,SECTOR,{513}
493,SECTOR,{513}
494,SECTOR,{513}
495,SECTOR,{513}
496,SECTOR,{513}
497,SECTOR,{513}
498,SECTOR,{513}
499,SECTOR,{513}
500,SECTOR,{513}
501,SECTOR,{513}
502,SECTOR,{513}
1,INDIVIDUAL,"{501,513}"
2,INDIVIDUAL,"{496,513}"
3,INDIVIDUAL,"{497,513}"
4,INDIVIDUAL,"{501,513}"
5,INDIVIDUAL,"{502,513}"
6,INDIVIDUAL,"{501,513}"
7,INDIVIDUAL,"{495,513}"
8,INDIVIDUAL,"{497,513}"
9,INDIVIDUAL,"{497,513}"
10,INDIVIDUAL,"{497,513}"
11,INDIVIDUAL,"{498,513}"
12,INDIVIDUAL,"{496,513}"
13,INDIVIDUAL,"{497,513}"
14,INDIVIDUAL,"{500,513}"
15,INDIVIDUAL,"{500,513}"
16,INDIVIDUAL,"{500,513}"
17,INDIVIDUAL,"{495,513}"
18,INDIVIDUAL,"{495,513}"
19,INDIVIDUAL,"{495,513}"
20,INDIVIDUAL,"{495,513}"
21,INDIVIDUAL,"{497,513}"
22,INDIVIDUAL,"{492,513}"
23,INDIVIDUAL,"{501,513}"
24,INDIVIDUAL,"{495,513}"
25,INDIVIDUAL,"{496,513}"
26,INDIVIDUAL,"{497,513}"
27,INDIVIDUAL,"{492,513}"
28,INDIVIDUAL,"{497,513}"
29,INDIVIDUAL,"{496,513}"
30,INDIVIDUAL,"{501,513}"
31,INDIVIDUAL,"{495,513}"
32,INDIVIDUAL,"{499,513}"
33,INDIVIDUAL,"{502,513}"
34,INDIVIDUAL,"{497,513}"
35,INDIVIDUAL,"{497,513}"
36,INDIVIDUAL,"{495,513}"
37,INDIVIDUAL,"{496,513}"
38,INDIVIDUAL,"{494,513}"
39,INDIVIDUAL,"{492,513}"
40,INDIVIDUAL,"{497,513}"
41,INDIVIDUAL,"{502,513}"
42,INDIVIDUAL,"{499,513}"
43,INDIVIDUAL,"{500,513}"
44,INDIVIDUAL,"{499,513}"
45,INDIVIDUAL,"{497,513}"
46,INDIVIDUAL,"{492,513}"
47,INDIVIDUAL,"{500,513}"
48,INDIVIDUAL,"{496,513}"
49,INDIVIDUAL,"{495,513}"
50,INDIVIDUAL,"{502,513}"
51,INDIVIDUAL,"{496,513}"
52,INDIVIDUAL,"{495,513}"
53,INDIVIDUAL,"{492,513}"
54,INDIVIDUAL,"{501,513}"
55,INDIVIDUAL,"{502,513}"
56,INDIVIDUAL,"{502,513}"
57,INDIVIDUAL,"{501,513}"
58,INDIVIDUAL,"{495,513}"
59,INDIVIDUAL,"{498,513}"
60,INDIVIDUAL,"{501,513}"
61,INDIVIDUAL,"{501,513}"
62,INDIVIDUAL,"{495,513}"
63,INDIVIDUAL,"{502,513}"
64,INDIVIDUAL,"{494,513}"
65,INDIVIDUAL,"{496,513}"
66,INDIVIDUAL,"{495,513}"
67,INDIVIDUAL,"{501,513}"
68,INDIVIDUAL,"{496,513}"
69,INDIVIDUAL,"{495,513}"
70,INDIVIDUAL,"{501,513}"
71,INDIVIDUAL,"{502,513}"
72,INDIVIDUAL,"{495,513}"
73,INDIVIDUAL,"{499,513}"
74,INDIVIDUAL,"{495,513}"
75,INDIVIDUAL,"{498,513}"
76,INDIVIDUAL,"{501,513}"
77,INDIVIDUAL,"{496,513}"
78,INDIVIDUAL,"{496,513}"
79,INDIVIDUAL,"{495,513}"
80,INDIVIDUAL,"{495,513}"
81,INDIVIDUAL,"{499,513}"
82,INDIVIDUAL,"{499,513}"
83,INDIVIDUAL,"{502,513}"
84,INDIVIDUAL,"{497,513}"
85,INDIVIDUAL,"{497,513}"
86,INDIVIDUAL,"{492,513}"
87,INDIVIDUAL,"{500,513}"
88,INDIVIDUAL,"{492,513}"
89,INDIVIDUAL,"{495,513}"
90,INDIVIDUAL,"{498,513}"
91,INDIVIDUAL,"{496,513}"
92,INDIVIDUAL,"{493,513}"
93,INDIVIDUAL,"{501,513}"
94,INDIVIDUAL,"{495,513}"
95,INDIVIDUAL,"{498,513}"
96,INDIVIDUAL,"{498,513}"
97,INDIVIDUAL,"{495,513}"
98,INDIVIDUAL,"{493,513}"
99,INDIVIDUAL,"{495,513}"
100,INDIVIDUAL,"{502,513}"
101,INDIVIDUAL,"{496,513}"
102,INDIVIDUAL,"{500,513}"
103,INDIVIDUAL,"{501,513}"
104,INDIVIDUAL,"{500,513}"
105,INDIVIDUAL,"{495,513}"
106,INDIVIDUAL,"{501,513}"
107,INDIVIDUAL,"{494,513}"
108,INDIVIDUAL,"{501,513}"
109,INDIVIDUAL,"{498,513}"
110,INDIVIDUAL,"{495,513}"
111,INDIVIDUAL,"{498,513}"
112,INDIVIDUAL,"{496,513}"
113,INDIVIDUAL,"{499,513}"
114,INDIVIDUAL,"{501,513}"
115,INDIVIDUAL,"{497,513}"
116,INDIVIDUAL,"{497,513}"
117,INDIVIDUAL,"{499,513}"
118,INDIVIDUAL,"{496,513}"
119,INDIVIDUAL,"{496,513}"
120,INDIVIDUAL,"{501,513}"
121,INDIVIDUAL,"{494,513}"
122,INDIVIDUAL,"{497,513}"
123,INDIVIDUAL,"{492,513}"
124,INDIVIDUAL,"{501,513}"
125,INDIVIDUAL,"{494,513}"
126,INDIVIDUAL,"{502,513}"
127,INDIVIDUAL,"{500,513}"
128,INDIVIDUAL,"{496,513}"
129,INDIVIDUAL,"{496,513}"
130,INDIVIDUAL,"{492,513}"
131,INDIVIDUAL,"{496,513}"
132,INDIVIDUAL,"{502,513}"
133,INDIVIDUAL,"{495,513}"
134,INDIVIDUAL,"{498,513}"
135,INDIVIDUAL,"{501,513}"
136,INDIVIDUAL,"{502,513}"
137,INDIVIDUAL,"{501,513}"
138,INDIVIDUAL,"{493,513}"
139,INDIVIDUAL,"{499,513}"
140,INDIVIDUAL,"{498,513}"
141,INDIVIDUAL,"{499,513}"
142,INDIVIDUAL,"{496,513}"
143,INDIVIDUAL,"{492,513}"
144,INDIVIDUAL,"{502,513}"
145,INDIVIDUAL,"{502,513}"
146,INDIVIDUAL,"{500,513}"
147,INDIVIDUAL,"{500,513}"
148,INDIVIDUAL,"{501,513}"
149,INDIVIDUAL,"{494,513}"
150,INDIVIDUAL,"{501,513}"
151,INDIVIDUAL,"{493,513}"
152,INDIVIDUAL,"{502,513}"
153,INDIVIDUAL,"{492,513}"
154,INDIVIDUAL,"{500,513}"
155,INDIVIDUAL,"{496,513}"
156,INDIVIDUAL,"{495,513}"
157,INDIVIDUAL,"{500,513}"
158,INDIVIDUAL,"{498,513}"
159,INDIVIDUAL,"{501,513}"
160,INDIVIDUAL,"{492,513}"
161,INDIVIDUAL,"{496,513}"
162,INDIVIDUAL,"{497,513}"
163,INDIVIDUAL,"{494,513}"
164,INDIVIDUAL,"{497,513}"
165,INDIVIDUAL,"{499,513}"
166,INDIVIDUAL,"{499,513}"
167,INDIVIDUAL,"{494,513}"
168,INDIVIDUAL,"{500,513}"
169,INDIVIDUAL,"{499,513}"
170,INDIVIDUAL,"{496,513}"
171,INDIVIDUAL,"{500,513}"
172,INDIVIDUAL,"{502,513}"
173,INDIVIDUAL,"{500,513}"
174,INDIVIDUAL,"{501,513}"
175,INDIVIDUAL,"{500,513}"
176,INDIVIDUAL,"{496,513}"
177,INDIVIDUAL,"{502,513}"
178,INDIVIDUAL,"{499,513}"
179,INDIVIDUAL,"{502,513}"
180,INDIVIDUAL,"{494,513}"
181,INDIVIDUAL,"{496,513}"
182,INDIVIDUAL,"{492,513}"
183,INDIVIDUAL,"{495,513}"
184,INDIVIDUAL,"{496,513}"
185,INDIVIDUAL,"{500,513}"
