etf_name,holding
XLP,PG
XLP,COST
XLP,WMT
XLP,KO
XLP,PEP
XLP,PM
XLP,MDLZ
XLP,TGT
XLP,MO
XLP,CL
XLP,KMB
XLP,STZ
XLP,MNST
XLP,GIS
XLP,SYY
XLP,KR
XLP,KVUE
XLP,ADM
XLP,KDP
XLP,EL
XLP,DG
XLP,KHC
XLP,HSY
XLP,DLTR
XLP,CHD
XLP,MKC
XLP,CLX
XLP,TSN
XLP,BG
XLP,K
XLP,CAG
XLP,WBA
XLP,TAP
XLP,SJM
XLP,LW
XLP,HRL
XLP,BF.b
XLP,CPB
XLC,META
XLC,GOOGL
XLC,GOOG
XLC,NFLX
XLC,TMUS
XLC,VZ
XLC,EA
XLC,DIS
XLC,T
XLC,CMCSA
XLC,CHTR
XLC,TTWO
XLC,OMC
XLC,WBD
XLC,LYV
XLC,IPG
XLC,NWSA
XLC,MTCH
XLC,FOXA
XLC,PARA
XLC,FOX
XLC,NWS
XLY,AMZN
XLY,TSLA
XLY,HD
XLY,MCD
XLY,LOW
XLY,BKNG
XLY,NKE
XLY,TJX
XLY,SBUX
XLY,CMG
XLY,ABNB
XLY,ORLY
XLY,MAR
XLY,AZO
XLY,HLT
XLY,GM
XLY,F
XLY,ROST
XLY,DHI
XLY,LULU
XLY,YUM
XLY,LEN
XLY,RCL
XLY,TSCO
XLY,EBAY
XLY,NVR
XLY,PHM
XLY,GRMN
XLY,DECK
XLY,ULTA
XLY,GPC
XLY,APTV
XLY,LVS
XLY,DRI
XLY,DPZ
XLY,EXPE
XLY,BBY
XLY,CCL
XLY,POOL
XLY,LKQ
XLY,MGM
XLY,KMX
XLY,BBWI
XLY,TPR
XLY,WYNN
XLY,CZR
XLY,ETSY
XLY,NCLH
XLY,HAS
XLY,BWA
XLY,RL
XLY,MHK
XLE,XOM
XLE,CVX
XLE,COP
XLE,EOG
XLE,MPC
XLE,SLB
XLE,PSX
XLE,PXD
XLE,VLO
XLE,WMB
XLE,OKE
XLE,OXY
XLE,HES
XLE,FANG
XLE,KMI
XLE,HAL
XLE,DVN
XLE,BKR
XLE,TRGP
XLE,CTRA
XLE,MRO
XLE,EQT
XLE,APA
XLF,BRK.B
XLF,JPM
XLF,V
XLF,MA
XLF,BAC
XLF,WFC
XLF,GS
XLF,SPGI
XLF,AXP
XLF,PGR
XLF,MS
XLF,C
XLF,SCHW
XLF,BLK
XLF,CB
XLF,MMC
XLF,BX
XLF,FI
XLF,ICE
XLF,CME
XLF,PYPL
XLF,USB
XLF,AON
XLF,MCO
XLF,PNC
XLF,COF
XLF,AIG
XLF,AJG
XLF,TFC
